country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
India,South Asia,Hindi,English,,Sway,Entry,False,3rd-4th,Asmodeus Colosseum Esports,ACE,Neon,,,2,38,35,18,1.08,1.6,249,19.0,17.5,9.0
Australia,Oceania,English,,,Taffy,Entry,False,9th-10th,Clueless,CLS,Jett,,,4,65,68,17,0.95,1.2,222,16.2,17.0,4.2
Indonesia,South East Asia,Indonesian,,,Taratheil,Anchor,True,1st,Xipto Esports,XIP,Omen,Cypher,Killjoy,14,158,133,83,1.18,1.81,180,11.2,9.5,5.9
Philippines,South East Asia,Filipino,English,,Tayrawr,Support,False,4th,4Fun (Filipino team),4F,Skye,,,1,13,18,11,0.72,1.33,169,13.0,18.0,11.0
Philippines,South East Asia,Filipino,English,,Tweeya,Entry,False,4th,4Fun (Filipino team),4F,Reyna,Raze,Omen,15,244,217,92,1.12,1.54,229,16.2,14.4,6.1
Philippines,South Asia,Filipino,English,,Twirly,Anchor,False,1st,Purr-Fectionists,PURR,Cypher,Killjoy,Viper,5,86,65,20,1.32,1.63,232,17.2,13.0,4.0
Japan,Japan,Japanese,,,UR,Support,False,1st,ZETA DIVISION GC,ZETA,Clove,Gekko,Sova,11,192,149,84,1.28,1.85,241,17.4,13.5,7.6
Australia,Oceania,English,,,Vola,Smoker,False,7th-8th,Polar bear,BEAR,Omen,,,2,17,35,12,0.48,0.82,120,8.5,17.5,6.0
Japan,Japan,Japanese,,,YOME,Support,False,5th-6th,DRX Changers,DRX,Sova,Breach,Gekko,7,85,109,50,0.77,1.23,166,12.1,15.5,7.1
South Korea,South Korea,Korean,,,YS2,Support,False,3rd,Nuclear GC,NC,Omen,Breach,KAY/O,7,78,105,58,0.74,1.29,154,11.1,15.0,8.2
South Korea,Japan,Japanese,Korean,,Yamzzi,Flex,False,2nd,FENNEL Female,FL,Omen,Gekko,,16,222,216,148,1.02,1.71,184,13.8,13.5,9.2
South Korea,South Korea,Korean,,,YuH4,Support,False,2nd,URACHACHA GC,UR,KAY/O,Fade,Sova,10,143,150,85,0.95,1.52,195,14.3,15.0,8.5
South Korea,South Korea,Korean,,,Yxx,Support,False,4th,SGA InCheon,SGA,Skye,Sova,Omen,5,44,67,35,0.65,1.17,155,8.8,13.4,7.0
Australia,Oceania,English,,,ZenSan1ty,Smoker,False,5th-6th,Scissor Sisters,SNIP,Omen,Gekko,Viper,6,82,84,32,0.97,1.35,198,13.6,14.0,5.3
Japan,Japan,Japanese,,,Zodiac,Entry,False,3rd,Reignite Lily,RIG,Neon,Jett,Raze,13,215,225,62,0.95,1.23,221,16.5,17.3,4.7
